Action,Data,Expected Result
Repeat for 'Reject' and 'Return' actions,,Status updates to 'Rejected' or 'Returned' accordingly
"In the Pending Request tab, select a request and click 'View Transaction Type'",,Popup displays 'Allocated Transaction Types' and 'Newly Allocated Transaction Types' sections
Verify that both sections are read-only,,No editing is allowed in either section
Check that all relevant fields are displayed in the grid,,"Transaction Type, Sub Type, Installment Number, Allocation Date, Allocation Amount are shown"
Close the popup,,Popup closes and returns to the Pending Request tab
Complete and approve a receipt reallocation,,Status is updated to 'Approved'
Check available actions for the reallocated receipt,,'Refund' and 'Reversal' actions are enabled
Attempt to initiate a refund or reversal,,System allows the action to proceed
Complete the refund or reversal process,,Receipt status is updated accordingly
Navigate to 'Loan Origination and Management' > 'Account Maintenance' > 'Account Inquiry',,Account Inquiry screen is displayed
Select an account and open the 'Receipt Details' tab,,Receipt Details grid is displayed
"Verify the column order: Receipt Number, TR Number, Receipt Date, Value Date, Receipt Category, Deposit Type, Recipient Name, Amount Paid, Cheque Number, Status, Action",,Columns are displayed in the defined order
Check for the 'Allocation Status' column after 'Allocation Amount',,'Allocation Status' column is present
"In the Receipt Details grid, locate a Temporary Receipt transaction with a TR Number hyperlink",,TR Number is displayed as a clickable hyperlink
Click the TR Number hyperlink,,Stock Series Details popup is displayed
"Verify that the popup displays Temporary Receipt Book Number, Temporary Receipt Number, Current Holder, Assigned Date, Branch, Stock Item From, Stock Item To",,All fields are displayed as per Non-Counter Deposit
Close the popup,,Popup closes and returns to Receipt Details grid
"In Receipt Details, view a receipt that has been fully reallocated",,"Allocation Status is 'Paid' for the new transaction type, 'Reversed' for the original"
View a receipt with partial reallocation,,Allocation Status is 'Partial Paid' for both new and remaining original records
Reverse a receipt and view its status,,Allocation Status is 'Reversed' for all related records
Confirm that statuses match the latest reallocation or reversal state,,Statuses are accurate and consistent
Complete a receipt reallocation for a loan account,,Reallocation is approved and processed
"In Account Inquiry, open the Outstanding Balance popup for the account",,Outstanding balances are displayed
Verify that balances reflect the updated allocation amounts,,Balances are recalculated and correct
Open the Installment Details tab and verify status and allocation view,,Installment details are updated and accurate
Log in as a user without Receipt Reallocation permission,,User is logged in successfully
Attempt to access the Receipt Reallocation screen via menu or direct URL,,Access is denied; user is redirected or shown an error message
Attempt to perform receipt reallocation actions via API or UI,,Actions are blocked; system enforces security
Log in as an authorized user and verify access is granted,,Authorized user can access and perform actions
Log in and navigate to Receipt Reallocation screen,,Screen is displayed
Remain idle until session timeout occurs,,Session expires after configured period
Attempt to perform any action after timeout,,User is redirected to login page
Log in again and verify previous session is closed,,New session is started; previous session is terminated
"Perform create, update, approve, reject, and reversal actions in Receipt Reallocation",,Actions are completed successfully
Access the audit log as an authorized user (if available),,"Audit log displays all actions with user, timestamp, and action details"
Verify that rejected and cancelled records are not marked as approved in the audit trail,,Audit trail reflects correct status for each action
Attempt to view audit log as unauthorized user,,Access is denied or restricted
Complete a receipt reallocation and approve it,,Reallocation is processed
Access the GL posting module or report (if available),,GL entries are displayed
Verify that GL entries reflect the updated allocation amounts and transaction types,,GL postings are correct and consistent with reallocation
Attempt a reallocation with invalid GL configuration,,System blocks posting and displays an error
"In the Receipt Details popup, leave a mandatory field (e.g. Allocation Amount) blank",,Field remains empty
Attempt to save the allocation,,"Inline error: ""Allocation Amount is required"" is displayed below the field"
Fill all mandatory fields and save,,Allocation is saved successfully
Repeat for each mandatory field in the popup,,Each field enforces validation as expected
"In the Receipt Details popup, enter an allocation amount below the minimum allowed",,System rejects the value and displays an error
Enter an allocation amount above the maximum allowed,,System rejects the value and displays an error
Enter allocation amount at the exact minimum and maximum boundaries,,System accepts the values and saves the allocation
Save and verify the allocation is reflected in the grid,,Allocation is displayed with correct amount
"In the Receipt Details popup, enter a date in an invalid format (e.g. YYYY/MM/DD instead of DD/MM/YYYY)",,System rejects the value and displays a format error
Enter a valid date in DD/MM/YYYY format,,System accepts the value
Attempt to save with an invalid date,,Save is blocked; error is displayed
Save with a valid date and verify allocation,,Allocation is saved and displayed correctly
"In the Receipt Details popup, leave the Transaction Type dropdown unselected",,Attempt to save the allocation
"System displays an inline error: ""Transaction Type is required""",,
Select an invalid or unavailable option (if possible),,System rejects the selection and displays an error
Select a valid option and save,,Allocation is saved successfully
"On the Receipt Reallocation screen, display the receipt grid",,Grid is displayed
"Verify columns: Receipt Number, Transaction Date, Deposit Type, Receipt Amount, Excess Pay, Action",,All columns are present and in the correct order
"In the Receipt Details popup, verify columns: Transaction Type, Sub Type, Installment Number, Allocation Date, Allocation Amount",,All columns are present and in the correct order
Confirm that no columns are missing or out of order,,Grid structure matches requirements
"On the Receipt Reallocation screen, display a grid with multiple pages of receipts",,Grid is displayed with pagination controls
Use pagination controls to navigate between pages,,Records are paginated correctly; navigation works
Use the search field to filter receipts by number or criteria,,Matching records are displayed; non-matching records are hidden
Search with no matching criteria,,"""No records found"" message is displayed"
Remove or misconfigure required definitions in the system,,Definitions are missing or invalid
Attempt to perform receipt reallocation,,System blocks the action and displays an error message
Restore definitions and retry,,Reallocation is allowed and proceeds
Verify that error messages are clear and actionable,,User is informed of missing configuration
Log in as Maker and submit a new receipt reallocation,,Submission is successful; status is 'Pending'
"Without logging out, attempt to approve the same request as Maker",,System blocks the action and displays an error
Log in as Checker and approve the request,,Approval is allowed and status changes to 'Approved'
Verify that role restrictions are enforced throughout the workflow,,Only authorized roles can perform each action
Approve or reject a receipt reallocation request,,Status is updated accordingly
Attempt to edit the request after approval or rejection,,Edit action is disabled or blocked
"System displays a message: ""Cannot edit an approved or rejected request""",,
Attempt to edit a pending request,,Edit is allowed for pending requests only
Select a contract/account with no allocation order or due order mapped,,Contract is selected
Attempt manual allocation,,"System displays a validation error: ""No allocation order or due order found"""
Configure allocation order and retry,,Allocation is allowed and proceeds
Verify that error messages are clear and actionable,,User is informed of missing configuration
Identify a receipt with active allocations or dependencies,,Receipt is listed in the grid
Attempt to delete the receipt,,System blocks the action and displays an error message
Remove dependencies and retry deletion,,Deletion is allowed only when no active dependencies exist
Verify that error messages are clear and actionable,,User is informed of dependency restriction
Complete a receipt reallocation and approve it,,Reallocation is processed
"In Account Inquiry, open the Receipt Details tab for the affected account",,Receipt details are updated to reflect the reallocation
"Verify that Allocation Status, amounts, and transaction types match the latest state",,Data is synchronized and accurate
Repeat for reversal and refund actions,,All changes are reflected in Account Inquiry
